Product ID,Product Name,Category,Price
1,Apple iPhone 12,Electronics,1099
2,Samsung Galaxy S21,Electronics,999
3,Canon EOS R5,Electronics,3899
4,Dell XPS 13,Laptop,1399
5,Sony PlayStation 5,Gaming,499
6,ASUS ROG Strix G15 Gaming Laptop,Laptop,1599
7,Apple AirPods Pro,Electronics,249
8,Microsoft Xbox Series X,Gaming,499
9,HP Spectre x360 13 Laptop,Laptop,1199
10,Sony BRAVIA OLED 4K TV,Electronics,1999.99
11,Alienware Aurora R12 Gaming Desktop,Gaming,1899
12,Lenovo ThinkPad X1 Carbon Laptop,Laptop,1699
13,Samsung Galaxy Watch Active 2,Electronics,249
14,Nintendo Switch,Gaming,299
15,Acer Predator Helios 300 Gaming Laptop,Laptop,1299
16,LG CX Series OLED 4K TV,Electronics,1799.99
17,Razer BlackWidow Elite Mechanical Gaming Keyboard,Gaming,169.99
18,HP ENVY 13 Laptop,Laptop,999
19,Bose SoundLink Revolve+ Bluetooth Speaker,Electronics,299
20,MSI GeForce RTX 3080 Gaming X Trio,Gaming,799
